Value,Algorithms
0.654283657,PPO
0.666180794,PPO
0.645934015,PPO
0.701338724,PPO
0.72602304,PPO
0.74198648,PPO
0.604560396,PPO
0.715013832,PPO
0.680311425,PPO
0.700115695,PPO
0.626220015,PPO
0.703734233,PPO
0.666968789,PPO
0.848847196,PPO
0.642885903,PPO
0.747311578,PPO
0.689621477,PPO
0.581972223,PPO
0.646075541,PPO
0.733348292,PPO
0.409221889,GTrPO
0.391258913,GTrPO
0.406824943,GTrPO
0.441229615,GTrPO
0.398389801,GTrPO
0.486831151,GTrPO
0.408866755,GTrPO
0.472216606,GTrPO
0.521942079,GTrPO
0.43588479,GTrPO
0.458416063,GTrPO
0.423740118,GTrPO
0.431983591,GTrPO
0.446456575,GTrPO
0.463390289,GTrPO
0.445625764,GTrPO
0.452059409,GTrPO
0.446924709,GTrPO
0.450600552,GTrPO
0.395099611,GTrPO
0.479075382,SAC
0.494765066,SAC
0.534987152,SAC
0.515916797,SAC
0.521995371,SAC
0.422736749,SAC
0.444129762,SAC
0.466634223,SAC
0.554474711,SAC
0.597397203,SAC
0.446832954,SAC
0.587038578,SAC
0.581564942,SAC
0.631748837,SAC
0.518194703,SAC
0.488812704,SAC
0.4842427,SAC
0.455888503,SAC
0.548473065,SAC
0.546467701,SAC
0.607189975,DuelingDQN
0.674621071,DuelingDQN
0.617578252,DuelingDQN
0.640489949,DuelingDQN
0.607431112,DuelingDQN
0.682699307,DuelingDQN
0.632337318,DuelingDQN
0.606193362,DuelingDQN
0.606540281,DuelingDQN
0.740873986,DuelingDQN
0.640081389,DuelingDQN
0.732155585,DuelingDQN
0.619080651,DuelingDQN
0.688448159,DuelingDQN
0.608661755,DuelingDQN
0.671250139,DuelingDQN
0.72161217,DuelingDQN
0.678349157,DuelingDQN
0.61456766,DuelingDQN
0.620277394,DuelingDQN
0.832339711,DRQN
0.802620054,DRQN
0.835823008,DRQN
0.854520435,DRQN
1.042185073,DRQN
0.826604298,DRQN
0.897566439,DRQN
1.123784952,DRQN
0.859054236,DRQN
0.775883047,DRQN
1.018243121,DRQN
0.799163371,DRQN
1.060989784,DRQN
0.766286271,DRQN
0.870145436,DRQN
1.078024466,DRQN
0.833642308,DRQN
1.101091377,DRQN
0.796819819,DRQN
1.067013195,DRQN
0.571811247,TRPO
0.595375493,TRPO
0.58581082,TRPO
0.5435333,TRPO
0.575223788,TRPO
0.590030529,TRPO
0.534583077,TRPO
0.530407507,TRPO
0.552875258,TRPO
0.53140207,TRPO
0.546653902,TRPO
0.541040751,TRPO
0.543624927,TRPO
0.522812974,TRPO
0.533000378,TRPO
0.534927626,TRPO
0.572215623,TRPO
0.520865089,TRPO
0.558560667,TRPO
0.527223929,TRPO
2.31692293,REINFORCE
2.311694098,REINFORCE
2.162932492,REINFORCE
2.21018931,REINFORCE
2.235570414,REINFORCE
2.252763072,REINFORCE
2.286875276,REINFORCE
2.281785212,REINFORCE
2.29243882,REINFORCE
2.299732267,REINFORCE
2.335171125,REINFORCE
2.152944745,REINFORCE
2.227045422,REINFORCE
2.221857596,REINFORCE
2.28415313,REINFORCE
2.283034866,REINFORCE
2.28177306,REINFORCE
2.29546058,REINFORCE
2.331109326,REINFORCE
2.138362926,REINFORCE
