Value,Time (hour),algorithm
56.2094,200,GTrPO
54.5612,200,GTrPO
56.4394,200,GTrPO
52.139,200,GTrPO
56.8943,200,GTrPO
57.5517,200,GTrPO
57.9037,200,GTrPO
57.4669,200,GTrPO
55.5691,200,GTrPO
54.3709,200,GTrPO
54.5201,200,GTrPO
55.6089,200,GTrPO
57.1078,200,GTrPO
57.4562,200,GTrPO
58.1259,200,GTrPO
58.5314,200,GTrPO
55.0058,200,GTrPO
55.3852,200,GTrPO
57.3938,200,GTrPO
57.4087,200,GTrPO
,,
57.9843,200,SAC
56.5041,200,SAC
57.8029,200,SAC
47.1599,200,SAC
53.2055,200,SAC
57.2022,200,SAC
55.3819,200,SAC
55.7408,200,SAC
54.0374,200,SAC
53.4392,200,SAC
51.8242,200,SAC
51.4019,200,SAC
56.6955,200,SAC
45.2172,200,SAC
53.3547,200,SAC
54.4987,200,SAC
51.5092,200,SAC
50.4956,200,SAC
54.8352,200,SAC
50.5906,200,SAC
,,
38.6245,200,DuelingDQN
38.9407,200,DuelingDQN
41.8658,200,DuelingDQN
38.9243,200,DuelingDQN
39.7804,200,DuelingDQN
39.2804,200,DuelingDQN
40.5774,200,DuelingDQN
42.1041,200,DuelingDQN
39.0025,200,DuelingDQN
41.5755,200,DuelingDQN
39.5038,200,DuelingDQN
39.7657,200,DuelingDQN
41.295,200,DuelingDQN
40.4634,200,DuelingDQN
43.2403,200,DuelingDQN
39.1549,200,DuelingDQN
41.1553,200,DuelingDQN
39.4986,200,DuelingDQN
40.8668,200,DuelingDQN
40.0056,200,DuelingDQN
,,
42.374,200,PPO
39.0771,200,PPO
38.2748,200,PPO
40.5578,200,PPO
39.1733,200,PPO
37.5916,200,PPO
39.5745,200,PPO
37.9935,200,PPO
35.7893,200,PPO
40.9177,200,PPO
43.2471,200,PPO
41.498,200,PPO
41.6441,200,PPO
44.2508,200,PPO
42.2241,200,PPO
35.0027,200,PPO
42.1462,200,PPO
38.647,200,PPO
41.1953,200,PPO
38.3519,200,PPO
,,
78.4879,300,GTrPO
74.9326,300,GTrPO
77.0875,300,GTrPO
74.5133,300,GTrPO
77.3028,300,GTrPO
74.8251,300,GTrPO
76.4449,300,GTrPO
76.205,300,GTrPO
75.8174,300,GTrPO
74.9674,300,GTrPO
72.9314,300,GTrPO
67.9369,300,GTrPO
76.0445,300,GTrPO
75.9772,300,GTrPO
77.4139,300,GTrPO
77.3117,300,GTrPO
74.6741,300,GTrPO
77.0788,300,GTrPO
75.8448,300,GTrPO
77.8646,300,GTrPO
,,
79.6467,300,SAC
73.9179,300,SAC
72.1441,300,SAC
80.2158,300,SAC
78.2522,300,SAC
70.7293,300,SAC
73.0517,300,SAC
72.2663,300,SAC
80.1809,300,SAC
77.8552,300,SAC
76.7871,300,SAC
75.1528,300,SAC
63.1041,300,SAC
75.5229,300,SAC
66.7797,300,SAC
63.7168,300,SAC
74.3245,300,SAC
76.8931,300,SAC
72.1627,300,SAC
72.839,300,SAC
,,
62.3535,300,DuelingDQN
58.3647,300,DuelingDQN
54.5591,300,DuelingDQN
57.0803,300,DuelingDQN
57.7114,300,DuelingDQN
54.1624,300,DuelingDQN
60.9367,300,DuelingDQN
60.6641,300,DuelingDQN
59.8225,300,DuelingDQN
55.185,300,DuelingDQN
57.0436,300,DuelingDQN
57.2676,300,DuelingDQN
52.0973,300,DuelingDQN
61.3904,300,DuelingDQN
56.7143,300,DuelingDQN
57.4251,300,DuelingDQN
58.1537,300,DuelingDQN
61.3786,300,DuelingDQN
53.4235,300,DuelingDQN
65.7969,300,DuelingDQN
,,
53.8111,300,PPO
56.16,300,PPO
58.394,300,PPO
54.0202,300,PPO
49.1198,300,PPO
47.1328,300,PPO
50.7374,300,PPO
51.542,300,PPO
53.8993,300,PPO
50.323,300,PPO
48.3446,300,PPO
54.1649,300,PPO
58.1055,300,PPO
50.6661,300,PPO
52.0078,300,PPO
52.3692,300,PPO
52.9609,300,PPO
51.8855,300,PPO
56.3973,300,PPO
49.6376,300,PPO
,,
94.2065,400,GTrPO
87.3737,400,GTrPO
95.4778,400,GTrPO
97.0246,400,GTrPO
92.1435,400,GTrPO
96.6771,400,GTrPO
95.0189,400,GTrPO
96.6122,400,GTrPO
99.6639,400,GTrPO
94.3435,400,GTrPO
99.6624,400,GTrPO
97.3348,400,GTrPO
88.7549,400,GTrPO
98.4592,400,GTrPO
96.1222,400,GTrPO
90.9121,400,GTrPO
94.9791,400,GTrPO
97.5938,400,GTrPO
99.0589,400,GTrPO
96.3552,400,GTrPO
,,
96.7627,400,SAC
86.4319,400,SAC
86.5266,400,SAC
77.3428,400,SAC
80.2176,400,SAC
100.5668,400,SAC
101.2258,400,SAC
93.2513,400,SAC
95.955,400,SAC
93.2463,400,SAC
79.6745,400,SAC
93.2071,400,SAC
77.6098,400,SAC
98.5996,400,SAC
90.0967,400,SAC
95.7622,400,SAC
90.7873,400,SAC
89.0925,400,SAC
93.4307,400,SAC
87.8437,400,SAC
,,
67.6595,400,DuelingDQN
67.8402,400,DuelingDQN
65.934,400,DuelingDQN
70.22,400,DuelingDQN
67.2874,400,DuelingDQN
64.729,400,DuelingDQN
64.14,400,DuelingDQN
66.5786,400,DuelingDQN
66.9236,400,DuelingDQN
64.651,400,DuelingDQN
69.8786,400,DuelingDQN
66.321,400,DuelingDQN
72.7981,400,DuelingDQN
68.6299,400,DuelingDQN
70.5167,400,DuelingDQN
66.7806,400,DuelingDQN
66.1979,400,DuelingDQN
63.5787,400,DuelingDQN
64.643,400,DuelingDQN
66.4498,400,DuelingDQN
,,
69.5363,400,PPO
61.06,400,PPO
63.9225,400,PPO
62.0061,400,PPO
66.6231,400,PPO
72.3547,400,PPO
70.7979,400,PPO
65.9217,400,PPO
60.1333,400,PPO
65.4001,400,PPO
66.0868,400,PPO
71.2396,400,PPO
64.1814,400,PPO
67.0426,400,PPO
62.055,400,PPO
59.1154,400,PPO
65.5782,400,PPO
67.3265,400,PPO
70.4632,400,PPO
65.3467,400,PPO
,,
119.0387,500,GTrPO
115.9536,500,GTrPO
111.8081,500,GTrPO
112.4836,500,GTrPO
110.0369,500,GTrPO
104.9453,500,GTrPO
110.7549,500,GTrPO
116.0486,500,GTrPO
111.2582,500,GTrPO
112.8859,500,GTrPO
114.7603,500,GTrPO
107.0897,500,GTrPO
119.2628,500,GTrPO
112.4078,500,GTrPO
118.4668,500,GTrPO
110.1268,500,GTrPO
117.9491,500,GTrPO
122.6871,500,GTrPO
112.0109,500,GTrPO
113.0862,500,GTrPO
,,
115.459,500,SAC
101.5438,500,SAC
108.842,500,SAC
113.8217,500,SAC
105.5987,500,SAC
117.5508,500,SAC
113.7823,500,SAC
107.692,500,SAC
100.568,500,SAC
115.2196,500,SAC
102.0139,500,SAC
106.2579,500,SAC
113.3336,500,SAC
105.3846,500,SAC
108.0875,500,SAC
112.2876,500,SAC
97.6155,500,SAC
107.445,500,SAC
110.5436,500,SAC
117.782,500,SAC
,,
86.9771,500,DuelingDQN
82.7825,500,DuelingDQN
83.1424,500,DuelingDQN
73.5878,500,DuelingDQN
88.7081,500,DuelingDQN
83.2917,500,DuelingDQN
85.2396,500,DuelingDQN
90.3653,500,DuelingDQN
84.6323,500,DuelingDQN
91.6922,500,DuelingDQN
84.1078,500,DuelingDQN
83.5747,500,DuelingDQN
81.988,500,DuelingDQN
87.8706,500,DuelingDQN
82.1306,500,DuelingDQN
82.6987,500,DuelingDQN
80.4011,500,DuelingDQN
88.7843,500,DuelingDQN
78.8816,500,DuelingDQN
86.2224,500,DuelingDQN
,,
85.3588,500,PPO
79.5408,500,PPO
72.1563,500,PPO
79.9976,500,PPO
78.3621,500,PPO
70.5889,500,PPO
79.3734,500,PPO
80.3477,500,PPO
70.0125,500,PPO
80.3054,500,PPO
83.692,500,PPO
75.0926,500,PPO
84.3129,500,PPO
84.7297,500,PPO
78.7592,500,PPO
75.3906,500,PPO
72.0888,500,PPO
82.8667,500,PPO
83.361,500,PPO
85.5863,500,PPO
,,
,,
29.319,200,DRQN
