Algorithm,Metric,Value1,Value2,Value3,Value4,Value5,Value6,Value7,Value8,Value9,Value10,Value11,Value12,Value13,Value14,Value15,Value16,Value17,Value18,Value19,Value20
GrTPO,ds1,52.6163,56.4783,56.8623,58.4231,54.4519,56.0642,54.6811,55.7631,55.0803,54.8727,58.4664,55.0066,54.403,57.1571,55.8595,49.8199,57.6131,57.5239,58.9119,55.9343
SAC,ds1,44.1283,53.3304,51.9924,45.6211,49.282,51.3412,48.6497,43.2224,47.3237,47.6166,52.5882,50.845,49.8972,48.8898,54.0566,51.9184,52.1891,46.8272,44.8164,47.0286
PPO,ds1,32.718,34.98,33.4146,31.6751,35.601,29.6255,34.3054,33.3137,33.8408,36.8287,30.1144,30.9749,31.9339,30.9372,37.1744,35.4011,31.2249,32.5449,31.584,31.3152
DRQN,ds1,25.0806,25.1864,28.2675,26.0915,29.6811,28.8886,29.5242,27.8379,26.3653,26.9693,26.1195,28.7312,27.3567,27.519,26.9455,29.997,28.5983,24.9873,28.7327,28.5789
DuelingDQN,ds1,29.5643,35.5743,35.6773,31.6607,31.7812,35.7124,32.9544,37.5203,34.6101,31.1502,30.9842,32.2487,29.4345,32.3474,31.981,30.7728,33.5359,33.4829,31.6293,29.7432
TRPO,ds1,31.5025,37.7827,37.261,34.1023,32.8585,30.8002,34.8754,34.8044,30.8404,32.7879,32.1347,34.4278,35.0695,30.9774,34.7775,30.7859,32.1573,32.2763,34.6639,32.7065
REINFORCE,ds1,20.5514,23.335,21.8813,22.0654,24.0389,19.4922,20.3955,23.7606,22.3947,21.9758,22.8492,21.324,21.6121,18.6525,22.9118,22.7118,19.5535,22.7887,21.5466,20.9473
GrTPO,ds2,48.4812,48.6044,50.1562,50.366,47.8135,48.2756,48.8845,47.9209,49.6288,49.3172,47.3384,51.231,50.1887,48.8783,48.5112,48.2381,50.1853,48.8349,44.7246,49.8687
SAC,ds2,38.7847,40.2027,42.3541,41.7361,45.0328,39.1566,39.9617,41.824,36.899,41.084,42.8745,42.9509,38.5828,41.651,35.6714,39.4711,42.2813,43.7544,42.5771,38.6095
PPO,ds2,25.4603,25.3482,24.293,22.2278,23.9937,21.8855,23.6191,25.9279,23.7572,25.6623,24.4548,27.5677,26.2169,25.4346,22.9255,24.1512,25.1533,25.0123,24.6401,25.3132
DRQN,ds2,21.8255,21.09,22.1007,23.3981,21.1686,21.0619,22.4657,19.3514,21.6098,19.7379,22.1128,20.502,20.8182,23.6585,20.1657,21.8515,23.0781,21.4226,22.3085,21.2908
DuelingDQN,ds2,26.5062,27.4869,26.9191,25.7353,29.785,27.9777,28.0453,26.6729,26.3564,25.6605,25.1824,25.0528,26.8326,24.1983,24.4068,26.2122,28.33,29.0043,25.1964,26.1575
TRPO,ds2,25.3111,27.2038,26.9981,23.0619,24.5165,31.2424,28.899,30.1785,24.1326,30.4979,30.3594,29.3686,21.3833,26.872,25.5441,29.5624,26.572,28.7147,30.4913,27.8189
REINFORCE,ds2,19.5256,19.3288,20.5648,22.368,20.2464,21.0723,20.5116,19.132,20.5388,20.1505,18.9731,20.7114,21.0018,20.5011,19.8974,20.9291,20.0421,21.1994,18.6028,18.6232
GrTPO,ds3,57.1121,57.4735,58.7542,58.7202,57.4378,60.8659,54.3801,59.7711,57.6536,60.0248,60.8521,58.2023,59.0608,57.9434,59.6915,57.0385,60.1487,60.224,61.0105,57.1705
SAC,ds3,47.4235,56.5525,57.5957,49.7599,53.0674,48.9927,52.5977,59.3816,49.7888,58.9356,52.0225,58.5513,52.3036,56.8533,57.3812,49.6401,51.8682,54.2404,53.2725,48.4172
PPO,ds3,36.5923,37.2274,35.8411,34.9443,36.8211,39.2381,36.7145,37.7632,34.2637,40.5587,37.3532,37.8519,40.055,39.1032,32.8743,34.4807,40.9887,35.277,36.1694,31.5626
DRQN,ds3,26.2313,30.7531,30.6243,29.5525,31.4573,31.3866,30.6564,29.3508,29.1878,29.5847,33.592,28.2421,30.6103,30.6738,29.5143,30.8824,29.8937,32.2286,29.8314,31.8549
DuelingDQN,ds3,32.193,37.7835,39.1558,35.2966,34.2035,32.555,38.8095,37.5061,36.5716,37.2357,38.2346,37.3317,34.9494,37.6225,38.0934,38.4638,34.7907,32.8206,32.1172,34.4492
